Num_Nodos;Num_Procesos;Tipo_Proceso;Identificador;T_In;T_Out;T_Dif



50;3;ANULACION;308274752;13:24:01.601833;13:24:37.601095;35999262
50;3;ANULACION;299882048;13:24:01.601997;13:26:17.609320;136007323
50;3;ANULACION;291489344;13:24:01.602114;13:27:57.618456;236016342
50;3;ANULACION;283096640;13:24:01.602319;13:29:37.627821;336025502
50;3;ANULACION;274703936;13:24:01.602514;13:31:17.634488;436031974
50;3;ANULACION;266311232;13:24:01.602748;13:32:57.641077;536038329
50;3;ANULACION;257918528;13:24:01.602948;13:34:37.647416;636044468
50;3;ANULACION;249525824;13:24:01.603137;13:36:17.657048;736053911
50;3;ANULACION;241133120;13:24:01.603327;13:37:57.662388;836059061
50;3;ANULACION;232740416;13:24:01.603507;13:39:37.668153;936064646
50;3;PAGO;224347712;13:24:01.603728;13:41:17.676368;1036072640
50;3;PAGO;215955008;13:24:01.603910;13:42:57.686296;1136082386
50;3;PAGO;207562304;13:24:01.604128;13:44:37.693103;1236088975
50;3;PAGO;199169600;13:24:01.604307;13:46:17.701144;1336096837
50;3;PAGO;190776896;13:24:01.604476;13:47:57.708380;1436103904
50;3;RESERVA/ANULACION;182384192;13:24:01.606061;13:49:37.713302;1536107241
50;3;RESERVA/ANULACION;173991488;13:24:01.606299;13:51:17.719230;1636112931
50;3;RESERVA/ANULACION;165598784;13:24:01.606477;13:52:57.724783;1736118306
50;3;RESERVA/ANULACION;157206080;13:24:01.606649;13:54:37.730961;1836124312
50;3;RESERVA/ANULACION;148813376;13:24:01.606752;13:56:17.739128;1936132376
50;3;ANULACION;1985996352;13:24:02.601444;13:24:47.601687;45000243
50;3;ANULACION;1977603648;13:24:02.601540;13:26:27.609648;145008108
50;3;ANULACION;1969210944;13:24:02.601658;13:28:07.619178;245017520
50;3;ANULACION;1960818240;13:24:02.601748;13:29:47.629007;345027259
50;3;ANULACION;1952425536;13:24:02.601859;13:31:27.634817;445032958
50;3;PAGO;1944032832;13:24:02.602058;13:33:07.641413;545039355
50;3;PAGO;1935640128;13:24:02.602290;13:34:47.648752;645046462
50;3;PAGO;1927247424;13:24:02.602488;13:36:27.657406;745054918
50;3;PAGO;1918854720;13:24:02.602697;13:38:07.662760;845060063
50;3;PAGO;1910462016;13:24:02.602896;13:39:47.669144;945066248
50;3;PAGO;1902069312;13:24:02.603116;13:41:27.677366;1045074250
50;3;PAGO;1893676608;13:24:02.603321;13:43:07.687463;1145084142
50;3;PAGO;1885283904;13:24:02.603554;13:44:47.694643;1245091089
50;3;PAGO;1876891200;13:24:02.603744;13:46:27.701504;1345097760
50;3;PAGO;1868498496;13:24:02.603945;13:48:07.708980;1445105035
50;3;PAGO;1860105792;13:24:02.604164;13:49:47.713628;1545109464
50;3;PAGO;1851713088;13:24:02.604383;13:51:27.719822;1645115439
50;3;PAGO;1843320384;13:24:02.604564;13:53:07.725081;1745120517
50;3;PAGO;1834927680;13:24:02.606029;13:54:47.731592;1845125563
50;3;PAGO;1826534976;13:24:02.606167;13:56:27.740165;1945133998
50;3;ANULACION;-799021504;13:24:02.601415;13:24:57.602822;55001407
